initCGM,output_cgm,state_Q2,state_S1,state_S2,state_I,state_X1,state_X2,state_X3,state_Ug,state_Ug2
40,-0.9307291507720947,-1.0213382244110107,-0.0665351003408432,-0.2712848484516144,-0.2733134925365448,-0.5276046991348267,-0.26453226804733276,-0.1938268393278122,-0.16361498832702637,1.3624999523162842
41,-0.9188025593757629,-1.0216501951217651,-0.072904571890831,-0.27847614884376526,-0.2802962064743042,-0.5299984812736511,-0.2711462378501892,-0.20210635662078857,-0.16063673794269562,1.3624999523162842
42,-0.9068759679794312,-1.0222374200820923,-0.0792531743645668,-0.28564274311065674,-0.2872527837753296,-0.5327163338661194,-0.2777325212955475,-0.21022124588489532,-0.1576545238494873,1.3624999523162842
43,-0.8949493169784546,-1.022820234298706,-0.08555064350366592,-0.2927936315536499,-0.29419517517089844,-0.5354596972465515,-0.2843068242073059,-0.21834951639175415,-0.15466926991939545,1.3624999523162842
44,-0.8830227255821228,-1.0240076780319214,-0.09175676107406616,-0.29973891377449036,-0.3009365499019623,-0.5389198064804077,-0.29067790508270264,-0.2262229174375534,-0.15168023109436035,1.3624999523162842
45,-0.871096134185791,-1.0285680294036865,-0.09786724299192429,-0.3055889308452606,-0.3065359890460968,-0.5429157018661499,-0.29488804936408997,-0.23640908300876617,-0.149321049451828,1.3624999523162842
46,-0.8591694831848145,-1.0357774496078491,-0.10347491502761841,-0.30882492661476135,-0.3096126616001129,-0.5491721034049988,-0.2965487241744995,-0.24639753997325897,-0.14714080095291138,1.3624999523162842
47,-0.8472428917884827,-1.0219868421554565,-0.12808944284915924,-0.3210887014865875,-0.3215501606464386,-0.5374979376792908,-0.3088047206401825,-0.2578706443309784,-0.14485062658786774,1.3624999523162842
48,-0.8353163003921509,-1.0229345560073853,-0.1283734142780304,-0.32841795682907104,-0.3287007510662079,-0.5416727662086487,-0.31586551666259766,-0.26494526863098145,-0.1428145468235016,1.3624999523162842
49,-0.8233897089958191,-1.0251049995422363,-0.12867438793182373,-0.3362483084201813,-0.3363322913646698,-0.5485122799873352,-0.32360246777534485,-0.270285964012146,-0.1407313197851181,1.3624999523162842
50,-0.8114630579948425,-1.0230721235275269,-0.1288931965827942,-0.34233930706977844,-0.3423340916633606,-0.5479284524917603,-0.32957199215888977,-0.2801162302494049,-0.14000344276428223,1.3624999523162842
51,-0.7995364665985107,-1.0225459337234497,-0.12916071712970734,-0.3494730591773987,-0.34931835532188416,-0.549901008605957,-0.3364960551261902,-0.2884925603866577,-0.13914911448955536,1.3624999523162842
52,-0.787609875202179,-1.0221242904663086,-0.12943489849567413,-0.3567778468132019,-0.356464147567749,-0.5521495938301086,-0.3435821831226349,-0.2966911196708679,-0.1382724642753601,1.3624999523162842
53,-0.7756832242012024,-1.0217719078063965,-0.1297159343957901,-0.3642077147960663,-0.36372873187065125,-0.5545603036880493,-0.35078704357147217,-0.304762601852417,-0.1373833864927292,1.3624999523162842
54,-0.7637566328048706,-1.0237900018692017,-0.1299777626991272,-0.3710716664791107,-0.3704323470592499,-0.5598702430725098,-0.3574264347553253,-0.3117533326148987,-0.13645689189434052,1.3624999523162842
55,-0.7518300414085388,-1.036778211593628,-0.13025762140750885,-0.37814754247665405,-0.37729611992836,-0.5831480026245117,-0.36503320932388306,-0.3087489604949951,-0.1337900161743164,1.3624999523162842
56,-0.739903450012207,-1.042779564857483,-0.13049210608005524,-0.38436779379844666,-0.38335612416267395,-0.5932028293609619,-0.3710286319255829,-0.31394559144973755,-0.1321859061717987,1.3624999523162842
57,-0.7279767990112305,-1.0052764415740967,-0.12951414287090302,-0.3559085428714752,-0.355171799659729,-0.4976920485496521,-0.3387405574321747,-0.2943882644176483,-0.1342736929655075,1.3624999523162842
58,-0.7160502076148987,-1.0117437839508057,-0.12972751259803772,-0.3615133464336395,-0.3606284260749817,-0.5108317136764526,-0.3450596332550049,-0.29123201966285706,-0.13205716013908386,1.3624999523162842
59,-0.7041236162185669,-1.0132718086242676,-0.1300489455461502,-0.3709666132926941,-0.37005943059921265,-0.5236414074897766,-0.3559906482696533,-0.30170342326164246,-0.13123247027397156,1.3624999523162842
60,-0.6921969652175903,-1.0023630857467651,-0.26718857884407043,-0.40280207991600037,-0.40055763721466064,-0.5301125645637512,-0.3862625062465668,-0.3273150324821472,-0.13140401244163513,1.3624999523162842
61,-0.6802703738212585,-0.9917728900909424,-0.2671751379966736,-0.4093562960624695,-0.40696486830711365,-0.5169867873191833,-0.39293548464775085,-0.3350231945514679,-0.13090555369853973,1.3624999523162842
62,-0.6683437824249268,-0.9831335544586182,-0.26719969511032104,-0.4144047200679779,-0.4119909703731537,-0.50556480884552,-0.39796799421310425,-0.3442203998565674,-0.13083922863006592,1.3624999523162842
63,-0.656417191028595,-0.9710422158241272,-0.26719847321510315,-0.3970045745372772,-0.39471933245658875,-0.46716874837875366,-0.3797256350517273,-0.3137105405330658,-0.12411439418792725,1.3624999523162842
64,-0.6444905400276184,-0.9731167554855347,-0.26717856526374817,-0.4042279124259949,-0.4017634689807892,-0.4733658730983734,-0.3871879279613495,-0.31954675912857056,-0.12423145771026611,1.3624999523162842
65,-0.6325639486312866,-0.9749501943588257,-0.26719221472740173,-0.411981999874115,-0.409400999546051,-0.4805454909801483,-0.39536625146865845,-0.3301647901535034,-0.12491608411073685,1.3624999523162842
66,-0.6206373572349548,-0.9754562377929688,-0.2672045826911926,-0.4229000210762024,-0.4191916584968567,-0.48697471618652344,-0.4055995047092438,-0.34158065915107727,-0.1256169229745865,1.3624999523162842
67,-0.6087107062339783,-0.973983108997345,-0.2671758234500885,-0.4333840012550354,-0.4282137155532837,-0.49065274000167847,-0.4152892231941223,-0.35337936878204346,-0.12626716494560242,1.3624999523162842
68,-0.5967841148376465,-0.9741507768630981,-0.2671925723552704,-0.4421604573726654,-0.43574392795562744,-0.49281197786331177,-0.4227852523326874,-0.3665021061897278,-0.1273614913225174,1.3624999523162842
69,-0.5848575234413147,-0.9735347628593445,-0.26719358563423157,-0.44874653220176697,-0.4414290189743042,-0.49415743350982666,-0.42863067984580994,-0.3787876069545746,-0.12918001413345337,1.3624999523162842
70,-0.5729308724403381,-0.9890686869621277,-0.26721104979515076,-0.43114832043647766,-0.426152765750885,-0.4855349063873291,-0.4085548520088196,-0.3809010684490204,-0.12960678339004517,1.3624999523162842
71,-0.5610042810440063,-0.9899647235870361,-0.2672026455402374,-0.43959033489227295,-0.43342822790145874,-0.4912675619125366,-0.4164446294307709,-0.3908204138278961,-0.12506206333637238,1.3624999523162842
72,-0.5490776896476746,-0.9901620745658875,-0.2671967148780823,-0.4533276855945587,-0.445254921913147,-0.49858158826828003,-0.42869654297828674,-0.4113587439060211,-0.12097535282373428,1.3624999523162842
